PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
100119,1,"Bruno, Pearl",female,23.0,0,2,PC 23914,189.26,C12550,C,1
100121,3,"Brown, Wendell",male,20.0,0,0,61005,9.01,,S,0
100122,3,"Jett, Carroll",male,28.0,0,0,10471,4.85,,S,0
100127,3,"Conti, Jose",male,30.0,0,0,,9.6,,S,0
100130,3,"Aldrich, Marcus",male,58.0,1,0,48331,21.38,A8675,S,0
100131,3,"Vonderahe, David",male,55.0,0,0,A/5 473655,7.91,,S,0
100132,3,"Clark, Wallace",male,17.0,0,0,412985,10.17,,Q,0
100137,3,"Garcia, David",male,28.0,0,0,10143,7.6,,S,0
100138,3,"Maxim, Jeffery",male,40.0,0,0,8553,11.44,,S,0
100139,3,"Butterfield, Richard",male,20.0,0,0,A. 21130,9.03,,S,0
100140,3,"Hendricks, Calvin",male,51.0,0,0,3925986,12.26,,S,0
100144,2,"Harley, Gary",male,56.0,1,0,12641,8.97,,S,0
100149,2,"Williams, David",male,24.0,0,0,38011,15.32,,S,0
100151,1,"Trafton, Dustin",male,29.0,0,0,PC 409710,62.9,A14807,S,0
100155,3,"Asher, Robert",male,17.0,0,0,457088,8.89,,S,0
100157,3,"Porter, Sherri",female,26.0,0,0,218565,30.01,,C,1
100160,3,"Richardson, Fred",male,41.0,0,0,28538,8.95,A3650,S,0
100163,2,"Brown, Stephanie",female,44.0,0,0,342052,11.25,,C,1
100164,3,"Herzog, Anthony",male,18.0,0,0,24666,194.04,,S,0
100165,3,"Lee, Matthew",male,18.0,0,0,,11.5,,S,0
100167,3,"Sands, Charles",male,19.0,1,0,35624,6.14,,S,0
100168,3,"Nolan, Geoffrey",male,75.0,0,0,,10.22,,S,0
100170,2,"Dickinson, Leila",female,30.0,0,1,19641,30.06,F13128,S,1
100172,3,"Humphery, Thomas",male,63.0,0,0,6681,14.22,,S,0
100175,3,"Mcdaniel, Armand",male,50.0,0,0,220900,11.59,,S,0
100176,3,"Lee, Melvin",male,27.0,0,0,C.A. ,9.5,,S,0
100177,3,"Post, Kenneth",male,18.0,0,1,11022,13.11,,S,0
100180,3,"Krupa, Jaime",male,24.0,0,0,10947,11.43,,S,0
100181,1,"Cleare, Laurie",female,27.0,1,2,PC 220029,264.85,C8299,C,1
100184,1,"Mccary, Wilma",female,23.0,0,0,C.A. 438830,30.34,,C,1
100185,3,"Jenkins, Dennis",male,47.0,0,1,4115248,10.12,,S,0
100186,1,"Blanchard, Troy",male,35.0,0,0,195486,24.24,A2611,S,0
100187,3,"Foster, Duane",male,25.0,0,0,25226,80.12,,S,0
100188,3,"Payne, Lydia",female,27.0,0,0,22088,36.96,,C,1
100189,1,"Melendez, Michael",male,69.0,0,0,C 9471,65.92,A18495,S,0
100191,3,"Mills, Bryan",male,52.0,0,0,S.O.C. 10485,3.99,,S,0
100192,3,"Vargas, Christian",male,42.0,0,0,SC/A4 37458,9.2,,S,0
100194,3,"Stafford, Steve",male,28.0,1,1,408924,11.04,,S,0
100198,3,"Butler, Mary",female,21.0,0,0,PC 37373,16.33,,C,1
100200,2,"Porter, Patricia",female,17.0,0,0,11364,34.76,F13169,S,1
100203,1,"Lancaster, Lonnie",female,30.0,0,2,PC 29938,227.72,B7894,C,1
100204,1,"Ellinger, Sergio",male,22.0,0,0,36341,10.08,,S,0
100206,3,"Combs, Ward",male,59.0,1,0,3589447,9.47,,S,0
100208,3,"Rogriguez, Ronnie",male,16.0,0,0,11409,10.52,,S,0
100210,3,"Brown, Ken",male,47.0,0,0,,9.36,,S,0
100212,1,"Faber, Amanda",female,44.0,0,2,PC 18445,139.47,B18670,C,1
100213,3,"Thomas, Terri",female,6.0,0,0,211618,26.82,F17446,S,1
100214,3,"Yoshida, Virginia",female,21.0,4,9,A. 9466,3.06,,S,0
100217,3,"Goulet, James",male,40.0,1,0,478975,6.39,,S,0
100218,3,"Lopez, Dave",male,41.0,0,0,19224,10.75,,S,0
100220,1,"Campbell, Christopher",male,64.0,1,0,22845,32.4,,S,0
100222,3,"Bennett, Kenneth",male,21.0,0,0,C.A. 462210,8.87,,S,0
100223,3,"Schwartz, Randy",male,18.0,1,2,PP 22891,6.95,,S,0
100224,1,"Moore, Ali",male,30.0,1,1,206133,9.16,,S,0
100227,3,"Gagnon, John",male,48.0,1,0,S.O./P.P. 7793,29.47,C20531,S,0
100229,3,"Kendall, Kenneth",male,18.0,0,0,11236,12.17,,Q,0
100230,3,"Bullock, Juan",male,17.0,0,0,A. 4125512,12.48,,S,0
100232,3,"Perez, Lee",male,24.0,1,0,393537,11.36,,S,0
100234,3,"Harter, Dan",male,19.0,1,0,522626,12.69,,S,0
100235,3,"Smisek, Ron",male,15.0,0,2,F.C.C. 10570,7.21,,S,0
100236,3,"Starns, William",male,46.0,1,0,STON/O 216449,6.23,,S,0
100239,3,"Hemp, Arturo",male,32.0,0,0,7784,10.26,,S,0
100240,3,"Shelton, David",male,21.0,0,0,10571,10.98,,S,0
100241,3,"Grube, Lee",male,26.0,0,0,,10.85,,S,0
100242,3,"Perez, Richard",male,20.0,0,0,38001,7.72,,S,0
100243,1,"Mannella, Theodore",male,37.0,1,2,446197,57.82,,S,0
100244,3,"Warnack, Daniel",male,38.0,0,0,22551,9.77,,S,0
100248,3,"Sanders, Mark",male,48.0,0,0,306040,7.11,,S,0
100249,3,"Newman, Alex",male,23.0,0,0,368660,13.36,,S,0
100252,1,"Jackson, Charles",male,,0,0,36362,83.56,,S,0
100253,3,"Rosenberg, Stephen",male,20.0,0,0,367022,7.87,,S,0
100254,3,"Samuels, Michael",male,22.0,0,0,8304,12.83,,S,0
100257,3,"Rehkop, Pete",male,32.0,0,0,6989,15.48,,Q,0
100258,3,"Watts, Gene",male,18.0,0,0,7930,13.12,,S,0
100259,3,"Kent, Harvey",male,35.0,0,0,3950833,12.43,,S,0
100263,2,"Willis, Allyson",female,29.0,0,0,C.A. 30628,14.59,F5821,S,1
100264,2,"Gomez, Steven",male,55.0,0,0,,9.59,,S,0
100265,2,"Garza, Kelly",male,,1,0,SC/AH 350775,7.12,,S,0
100266,3,"Cowger, Mark",male,33.0,2,0,11669,13.87,,S,0
100267,1,"Chance, Melissa",female,39.0,0,0,PC 13219,218.09,C7503,,1
100268,3,"Jurgens, Christopher",male,44.0,1,2,A. 425286,9.07,,S,0
100269,3,"Coulson, Larry",male,56.0,0,0,SOTON/O2 407407,8.82,,S,0
100271,3,"Lara, William",male,20.0,1,0,458308,81.78,,S,0
100277,3,"Moore, Martin",male,23.0,0,0,,13.39,,S,0
100280,3,"Edge, Jerry",male,22.0,1,0,,17.29,,S,0
100281,3,"Hale, Vincent",male,20.0,0,0,49471,12.18,,S,0
100284,3,"Phillips, Paul",male,25.0,1,0,24156,36.63,,S,0
100285,3,"Grady, Gary",male,0.58,1,2,W./C. 303121,29.05,,S,0
100286,3,"Griffith, Anthony",male,25.0,0,0,8319,9.15,,S,0
100293,3,"Baines, Antonio",male,25.0,1,0,501354,9.33,,S,0
100294,3,"Hodge, Antonio",male,22.0,0,0,36249,9.7,,S,0
100295,3,"Davis, Jon",male,44.0,0,0,43956,8.85,,S,0
100302,3,"Williams, Frederick",male,25.0,0,0,42338,,,S,0
100304,3,"Kahn, David",male,22.0,1,0,A. 353335,11.74,,S,0
100307,1,"Barney, Michael",male,47.0,0,0,311350,10.07,,S,0
100308,3,"Mitchell, Wesley",male,42.0,1,2,14727,158.25,,S,0
100309,1,"Luster, Roger",male,22.0,0,0,12475,9.04,,S,0
100311,3,"Balado, Hector",male,22.0,0,2,STON/O 444564,10.88,,S,0
100313,3,"Soliz, Juan",male,18.0,0,0,205383,12.95,,S,0
100314,3,"Gonzalez, Ronald",male,37.0,2,0,206391,11.12,,S,0
100315,3,"Irving, John",male,26.0,1,0,22468,67.89,,S,0
100318,2,"Smith, William",male,20.0,0,0,12362,9.62,,S,0
100322,3,"Wayne, Jose",male,31.0,0,0,S.O./P.P. ,9.13,,Q,0
100323,3,"Myer, William",male,40.0,0,0,,8.13,,S,0
100324,3,"Lockett, William",male,49.0,0,0,43982,11.02,,S,0
100327,3,"Oswalt, Enrique",male,22.0,1,0,,10.45,,S,0
100330,3,"Steele, Troy",male,21.0,0,0,15828,12.66,,S,0
100331,3,"Larson, Terry",male,28.0,1,0,27390,8.63,,S,0
100332,2,"Griffin, Carter",male,18.0,0,0,35776,13.09,,S,0
100334,3,"Maedche, Erik",male,35.0,1,0,431339,10.85,,S,0
100336,3,"Linch, Charles",male,28.0,0,0,SC/PARIS ,6.21,,S,0
100338,3,"Hernandez, Will",male,52.0,0,0,7667,13.96,,S,0
100340,3,"Graff, James",male,27.0,0,0,208979,16.44,,S,0
100341,3,"Rhynes, George",male,43.0,0,0,11541,11.47,,S,0
100342,3,"Scott, John",male,67.0,0,0,C.A. 39899,7.38,,S,0
100343,1,"Willick, Alan",male,20.0,0,0,4195235,80.99,,S,0
100344,3,"Melnick, Robert",male,21.0,0,0,9019,14.46,,S,0
100345,3,"Logie, Janet",female,25.0,0,1,43052,9.04,,C,1
100347,3,"Woods, Robert",male,14.0,0,0,8117,17.19,,S,0
100348,3,"Hardison, Charles",male,0.58,1,2,A. 434501,5.21,,S,0
100352,3,"Trost, Charles",male,26.0,0,0,490655,10.13,,S,0
100353,3,"Ramirez, Joel",male,52.0,2,0,4144367,9.87,,S,0
100354,1,"Perez, Joseph",male,40.0,0,0,C.A. 304682,65.91,A20337,S,0
100355,3,"Barkley, Bill",male,20.0,1,2,10804,6.19,,S,0
100357,1,"Albert, Billy",male,57.0,2,0,12753,78.38,A22166,S,0
100358,3,"Canavan, Sheldon",male,41.0,0,0,4109231,15.99,,S,0
100360,3,"Hayes, Patrick",male,17.0,0,0,4089412,11.07,,S,0
100364,3,"Parker, George",male,25.0,0,0,431238,8.73,,S,0
100366,3,"Jenkins, Cynthia",female,15.0,1,1,223294,32.62,C11353,C,1
100367,3,"Mcallister, Michael",male,26.0,0,0,,9.25,,S,0
100369,3,"Story, Jerome",male,43.0,0,0,3541981,10.77,,S,0
100370,3,"Jackson, Irwin",male,25.0,0,0,,9.97,,S,0
100371,3,"Washburn, Jeffrey",male,20.0,0,0,4096728,8.95,,S,0
100372,3,"Levitsky, William",male,19.0,1,1,342482,8.41,,S,0
100373,3,"Vazquez, William",male,23.0,0,0,295756,10.0,,Q,0
100374,3,"Whitmore, Walter",male,19.0,0,0,8222,8.92,,S,0
100376,3,"Kellam, Scott",male,22.0,0,0,42014,9.93,,S,0
100377,3,"Gallagher, Donald",male,,0,0,11771,16.21,,S,0
100378,3,"Thomas, Robert",male,36.0,0,0,SOTON/OQ 42511,8.77,,S,0
100380,3,"Abadi, Sidney",male,23.0,0,0,192680,10.25,,S,0
100381,1,"Payne, June",female,37.0,0,0,PC 46927,163.45,B11521,S,1
100383,3,"Guerrero, Max",male,38.0,0,0,SC/PARIS ,10.57,,S,0
100384,3,"Delagarza, William",male,26.0,0,0,C.A. ,11.58,,S,0
100386,3,"Colvin, Thomas",male,23.0,1,0,S.O.C. 466582,11.72,,S,0
100387,3,"Walker, Irma",female,27.0,1,1,27745,27.28,F5978,C,1
100388,3,"Matthews, Jamie",male,50.0,1,0,3966183,55.72,,S,0
100389,3,"Miller, Edgar",male,27.0,1,0,,13.16,,C,0
100391,1,"Saenz, Willis",male,23.0,2,2,21966,32.98,A17546,S,0
100393,3,"Kirkwood, Michael",male,22.0,0,0,459798,12.84,,S,0
100396,3,"Hearon, Robert",male,59.0,2,0,348767,67.08,,S,0
100400,3,"Davis, Les",male,26.0,1,0,32301,29.71,,S,0
100403,1,"Laudenslager, George",male,47.0,0,0,28911,9.67,A18069,S,0
100406,3,"Crumb, Steven",male,37.0,2,0,22758,66.89,,S,0
100411,1,"Reem, Domingo",male,53.0,2,0,41834,9.84,,S,0
100412,2,"Tice, Anthony",male,21.0,0,0,195775,11.86,,S,0
100415,3,"Bilderback, Don",male,22.0,0,0,18373,6.55,,S,0
100417,3,"Watson, Michael",male,36.0,0,0,4504477,10.24,A16690,S,0
100420,1,"Brooks, Christopher",male,42.0,1,0,45734,108.03,A20395,S,0
100421,1,"Moh, Lucretia",female,32.0,0,1,W.E.P. 24624,209.62,B16849,S,1
100424,3,"Phillips, David",male,34.0,0,0,SOTON/OQ 6204,7.37,,S,0
100425,3,"Hurst, Dennis",male,51.0,1,0,8234,61.67,A3026,S,0
100436,3,"Hansell, Ira",male,49.0,1,0,45274,9.46,,S,0
100438,3,"Mccrate, Jared",male,34.0,1,0,45349,74.35,,S,0
100439,3,"Inyart, George",male,24.0,0,0,468628,8.74,,S,0
100440,3,"Higgins, Ben",male,28.0,0,0,315518,10.24,,S,0
100441,3,"Whitmore, Curtis",male,18.0,0,0,21634,7.34,,S,0
100443,1,"Dunaway, Matthew",male,47.0,0,0,19762,12.4,,S,0
100445,1,"Hoye, Michelle",female,26.0,0,0,PC 23842,185.69,B8093,C,1
100446,3,"Leblanc, John",male,40.0,0,0,,7.8,,S,0
100448,3,"Roberson, Jimmy",male,29.0,0,0,3964942,7.5,,S,0
100450,3,"Swain, Joseph",male,26.0,0,0,453627,0.51,,S,0
100452,3,"Mcmillan, Glenn",male,,0,0,26494,8.96,,S,0
100454,3,"Watts, John",male,29.0,0,0,27626,14.05,,S,0
100459,1,"Bara, Joaquin",male,54.0,2,0,16065,71.85,,S,0
100463,3,"Scott, Kraig",male,64.0,1,0,,7.98,,S,0
100465,1,"Garmon, Edward",male,59.0,0,0,196473,21.47,A7861,S,0
100466,1,"Watson, Lillian",female,23.0,0,0,PC 32582,167.94,C21033,C,1
100468,3,"Raminez, Edward",male,12.0,0,0,9158,15.39,,S,0
100469,3,"Littlefield, Johnny",male,29.0,0,0,11559,101.44,,S,0
100470,2,"Workman, Craig",male,77.0,0,0,,9.74,,S,0
100471,3,"Silverstein, Roger",male,40.0,0,0,22061,12.59,,S,0
100472,1,"Benedict, James",male,70.0,0,0,11917,73.12,A17589,S,0
100473,3,"Jackson, Herbert",male,22.0,0,0,10684,19.52,,S,0
100474,3,"Thomas, Robert",male,63.0,0,0,A. 11256,8.28,,S,0
100475,3,"Criddle, Larry",male,34.0,0,0,SOTON/OQ 38062,9.23,,S,0
100480,3,"Towns, Jeffrey",male,27.0,0,0,15178,12.6,,S,0
100485,3,"Jones, Allen",male,31.0,0,0,,11.47,,S,0
100487,2,"Benson, Leola",female,25.0,0,0,490760,21.64,E16051,Q,1
100489,3,"Rogers, Lee",male,22.0,0,0,15003,14.99,,S,0
100490,2,"Zuniga, Jane",female,6.0,1,1,15924,28.7,,C,1
100493,3,"Thomas, James",male,29.0,0,0,328226,9.79,,Q,0
100495,3,"Lopez, Richard",male,71.0,0,0,461796,6.53,A11976,S,0
100496,3,"Micks, John",male,27.0,1,0,472474,36.88,,S,0
100497,3,"Bowman, John",male,41.0,0,0,28978,12.1,,S,0
100498,1,"Ford, Leroy",male,32.0,0,0,22671,53.06,A12417,S,0
100501,3,"Malek, Antony",male,25.0,1,0,3826716,56.78,A6324,S,0
100503,1,"Young, James",male,,0,2,27073,78.05,,S,0
100504,3,"Keith, Ramiro",male,42.0,1,2,4026872,12.19,,S,0
100505,3,"Russ, John",male,29.0,0,0,26945,61.92,,S,0
100507,1,"Sheth, Joshua",male,24.0,0,0,449821,61.75,,S,0
100508,1,"Mixon, Bradley",male,35.0,0,0,439759,9.4,A23386,S,0
100509,3,"Maasch, Peter",male,22.0,0,0,22555,12.25,E5477,S,0
100512,3,"Griffith, Henry",male,31.0,0,0,STON/O 7910,14.82,,S,0
100514,1,"Davis, Robert",male,51.0,2,0,44585,53.25,,S,0
100516,3,"Gulledge, Douglas",male,48.0,1,0,28000,29.42,,C,0
100517,3,"Mckoan, Mark",male,32.0,0,0,25852,13.37,,S,0
100521,3,"Garcia, Richard",male,59.0,1,0,465096,11.58,,S,0
100524,3,"Valdez, Brian",male,44.0,0,0,42614,8.86,,S,0
100525,3,"Nading, Lyndon",male,34.0,0,0,15174,9.15,,S,0
100526,3,"Saari, James",male,22.0,0,0,3902750,11.96,,S,0
100527,2,"Watford, Anthony",male,26.0,0,0,18236,11.02,,S,0
100528,3,"Jones, Steven",male,19.0,0,0,419328,35.34,,S,0
100530,3,"Robertson, Gilbert",male,17.0,1,2,A/5. 489999,25.55,,S,0
100532,1,"Holland, Matthew",male,29.0,0,0,13599,30.67,,S,0
100533,1,"Maynard, Bobby",male,32.0,2,0,443023,60.35,A11113,S,0
100534,3,"Hicks, Pierre",male,27.0,1,0,,12.44,,S,0
100538,3,"Carrington, Jeremiah",male,18.0,0,0,436398,13.76,,S,0
100539,3,"Paske, Anthony",male,34.0,0,0,19306,65.9,A8556,S,0
100541,3,"Garcia, Willis",male,55.0,0,0,10570,8.5,,S,0
100543,3,"Ashley, Derrick",male,28.0,0,0,,7.5,,S,0
100549,3,"Edwards, Milton",male,21.0,1,2,A. 45200,7.57,,S,0
100551,1,"Goeltz, Dorothy",female,23.0,1,0,PC 24436,238.71,B7377,C,1
100554,2,"Rehm, William",male,38.0,0,0,PP 480266,8.84,,S,0
100556,3,"Coleman, Jeffrey",male,32.0,0,0,13800,35.91,,S,0
100558,3,"Kempf, Leon",male,18.0,1,0,SC/A4 22498,14.59,,S,0
100563,1,"Gouty, Alejandro",male,24.0,1,0,26459,373.65,A19467,S,0
100568,3,"Prunty, Terrence",male,19.0,0,0,C.A. 8991,12.64,,S,0
100573,2,"Pangallo, Cody",male,16.0,0,0,14612,11.11,,S,0
100576,3,"Keegan, Dennis",male,17.0,0,0,13131,15.69,,S,0
100577,3,"Girman, Joshua",male,52.0,0,0,21128,69.77,A20472,C,0
100578,1,"Cook, Charles",male,30.0,0,0,30316,14.46,,S,0
100580,3,"Easley, Matthew",male,21.0,0,0,,10.47,,S,0
100581,3,"Skees, Donald",male,3.0,1,2,A. 44578,23.0,,S,0
100583,3,"Romon, Michael",male,46.0,1,0,407576,33.54,,S,0
100584,3,"Duncan, Jeff",male,22.0,0,0,481159,10.46,,S,0
100586,3,"Keyes, Derrick",male,30.0,1,2,27093,10.38,,Q,0
100588,3,"Pedersen, Robert",male,24.0,0,0,181444,13.79,,S,0
100589,3,"Vazquez, Mark",male,61.0,0,0,SC/PARIS 458347,24.61,A10129,S,0
100591,3,"Wingo, Faith",female,52.0,0,0,8760,11.43,F21054,C,1
100592,3,"Rivera, Lee",male,44.0,1,0,F.C. 444323,30.12,,C,0
100594,3,"Rivera, Michael",male,33.0,0,0,300546,10.55,,S,0
100596,3,"Strickland, James",male,17.0,0,0,7670,10.88,,Q,0
100599,3,"Sanchez, Ralph",male,45.0,1,0,7801,11.33,,S,0
100600,3,"Coutts, Lydia",female,,0,0,320777,13.25,F19202,C,1
100601,3,"Morris, Matthew",male,24.0,0,0,439081,8.49,,S,0
100602,3,"Drayton, Paul",male,23.0,0,0,C.A. 11913,11.54,,S,0
100603,1,"Duarte, Connie",female,,0,2,PC 24606,211.9,B15457,C,1
100604,3,"Hall, Randy",male,22.5,0,0,463166,7.47,,S,0
100605,3,"Snyder, Matthew",male,19.0,0,0,23109,11.42,,S,0
100606,3,"Blount, Sean",male,37.0,0,0,470917,12.02,,S,0
100607,3,"Lee, William",male,18.0,0,0,198793,15.55,,S,0
100608,3,"Yarborough, Emanuel",male,41.0,0,0,A. 208499,11.49,,S,0
100609,3,"Haskins, Jeffrey",male,29.0,0,0,,8.73,,S,0
100610,3,"Bausch, Earl",male,23.0,0,0,445349,78.47,,S,0
100611,3,"Wordlaw, Alex",male,68.0,1,0,,6.69,,S,0
100612,3,"Stewart, George",male,17.0,0,0,5045,9.59,,S,0
100613,3,"Kelsey, Ron",male,19.0,0,2,A. 433399,9.37,,S,0
100616,1,"Raybon, Edward",male,23.0,0,0,8187,52.38,A18131,S,0
100618,3,"Diaz, Matthew",male,22.0,1,1,408664,11.97,,S,0
100620,3,"Fernandez, Timothy",male,25.0,0,0,55342,12.97,,S,0
100623,3,"Lewis, Warren",male,21.0,0,0,7118,12.32,,S,0
100626,3,"Evers, Larry",male,24.0,0,0,10731,9.6,C20129,S,0
100628,3,"Benford, Christopher",male,53.0,1,2,4261307,24.64,,C,0
100631,2,"Crump, James",male,41.0,0,0,SOTON/O.Q. 446363,12.76,,S,0
100633,3,"Kim, Edward",male,12.0,0,0,11934,17.38,,Q,0
100635,3,"Clawson, Justin",male,44.0,1,0,403985,10.92,A20765,S,0
100636,3,"Valine, John",male,20.0,1,0,A. 314254,7.81,,S,0
100637,3,"Hutcherson, Wayne",male,26.0,2,0,25723,62.23,,S,0
100641,3,"Gloria, Ryan",male,21.0,0,0,404100,84.37,,C,0
100642,3,"Davidson, Wayne",male,24.0,0,0,199041,6.0,,S,0
100644,3,"Green, Jack",male,18.0,0,0,,12.69,,S,0
100645,3,"Jackson, Christopher",male,32.0,0,0,4382394,34.23,,S,0
100646,3,"Boles, James",male,19.0,0,0,489952,8.15,,S,0
100649,3,"Darden, Darren",male,39.0,0,0,19080,26.19,,Q,0
100651,3,"Brink, William",male,15.0,0,0,9137,13.55,,Q,0
100652,3,"Aparicio, Gerald",male,23.0,1,2,15890,27.68,,S,0
100655,2,"Daniels, Daniel",male,23.0,0,0,431955,12.61,,S,0
100656,3,"Call, William",male,27.0,0,0,338391,11.89,,S,0
100657,2,"Chu, Thomas",male,44.0,1,0,C.A. 11879,10.3,,S,0
100658,2,"Hunter, William",male,30.0,0,0,SC/PARIS 21247,212.24,A20484,S,0
100659,2,"Rainbolt, Samuel",male,63.0,1,0,18328,12.53,,S,0
100660,3,"Starkey, Norman",male,66.0,1,2,215211,31.27,,S,0
100661,3,"Nichols, John",male,32.0,0,0,40547,13.22,,Q,0
100662,3,"Meier, Christopher",male,19.0,0,0,479721,28.29,,Q,0
100665,3,"Maurer, Larry",male,65.0,0,0,,11.07,,S,0
100666,1,"Simpkins, Jesus",male,35.0,2,3,29566,48.7,A12601,S,0
100669,3,"Ellis, Robert",male,18.0,0,0,A. 436799,49.28,,S,0
100670,3,"Mcdonald, Jack",male,22.0,0,0,8085,13.47,,S,0
100671,1,"Solis, Dawn",female,29.0,0,2,PC 19919,26.79,C20166,C,1
100673,3,"Argueta, David",male,25.0,0,0,,5.29,,S,0
100677,3,"Zajc, David",male,30.0,0,0,,9.77,,S,0
100678,3,"Tinley, Isaac",male,23.0,4,0,A. 21639,16.62,,S,0
100680,3,"Corrigan, Mirna",female,20.0,0,0,329695,31.91,,C,1
100681,3,"Sharkey, Richard",male,24.0,0,0,C.A. 9385,11.44,,S,0
100684,3,"Lasater, Richard",male,41.0,0,0,,14.21,,S,0
100686,3,"Parker, Ronald",male,5.0,1,2,13566,31.1,,S,0
100689,2,"Todd, Ruben",male,27.0,0,0,479841,12.75,,S,0
100690,3,"Ramsey, Ronald",male,16.0,0,0,10941,14.19,,S,0
